average_entry_score,chip_plays_0_chip_name,chip_plays_0_num_played,chip_plays_1_chip_name,chip_plays_1_num_played,chip_plays_2_chip_name,chip_plays_2_num_played,chip_plays_3_chip_name,chip_plays_3_num_played,cup_leagues_created,data_checked,deadline_time,deadline_time_epoch,deadline_time_game_offset,finished,h2h_ko_matches_created,highest_score,highest_scoring_entry,id,is_current,is_next,is_previous,most_captained,most_selected,most_transferred_in,most_vice_captained,name,ranked_count,release_time,top_element,top_element_info_id,top_element_info_points,transfers_made
64,bboost,163222,3xc,287198,,,,,False,True,2023-08-11T17:30:00Z,1691775000,0,True,False,127,3383750,1,False,False,False,355,355,1,19,Gameweek 1,0,,395,395,14,0
44,bboost,126778,freehit,112568,wildcard,244166,3xc,213828,True,True,2023-08-18T17:15:00Z,1692378900,0,True,True,120,3338487,2,False,False,False,355,355,195,19,Gameweek 2,0,,108,108,16,13130353
44,bboost,124110,freehit,111065,wildcard,445328,3xc,245013,True,True,2023-08-25T17:30:00Z,1692984600,0,True,True,128,9368956,3,False,False,False,355,355,108,19,Gameweek 3,0,,216,216,19,17619532
72,bboost,109196,freehit,119294,wildcard,406918,3xc,164388,True,True,2023-09-01T17:30:00Z,1693589400,0,True,True,148,4354697,4,False,False,False,355,355,216,19,Gameweek 4,0,,516,516,20,16035365
44,bboost,96469,freehit,81067,wildcard,387941,3xc,123443,True,True,2023-09-16T10:00:00Z,1694858400,0,True,True,102,6211182,5,False,False,False,355,355,516,19,Gameweek 5,0,,344,344,13,14363988
68,bboost,78528,freehit,60517,wildcard,283333,3xc,192955,True,True,2023-09-23T12:30:00Z,1695472200,0,True,True,142,4494759,6,False,False,False,355,355,343,308,Gameweek 6,0,,430,430,18,12109066
49,bboost,79672,freehit,141888,wildcard,380176,3xc,90244,True,True,2023-09-30T10:00:00Z,1696068000,0,True,True,156,9335002,7,False,False,False,355,355,430,308,Gameweek 7,0,,60,60,23,15579302
44,bboost,53401,freehit,149680,wildcard,675746,3xc,67206,True,True,2023-10-07T10:00:00Z,1696672800,0,True,True,120,10068163,8,False,False,False,355,355,516,355,Gameweek 8,0,,216,216,16,19444885
67,bboost,50175,freehit,67685,wildcard,328588,3xc,56575,True,True,2023-10-21T10:00:00Z,1697882400,0,True,True,152,6931177,9,False,False,False,355,355,60,308,Gameweek 9,0,,423,423,17,11431916
66,bboost,80903,freehit,70004,wildcard,328730,3xc,93361,True,True,2023-10-27T17:30:00Z,1698427800,0,True,True,134,9895223,10,False,False,False,355,355,60,355,Gameweek 10,0,,13,13,17,12428517
32,bboost,61985,freehit,64253,wildcard,151598,3xc,201152,True,True,2023-11-04T11:00:00Z,1699095600,0,True,True,107,3242487,11,False,False,False,355,355,311,308,Gameweek 11,0,,678,678,22,10003311
64,bboost,60433,freehit,96817,wildcard,171986,3xc,38010,True,True,2023-11-11T11:00:00Z,1699700400,0,True,True,129,299796,12,False,False,False,355,355,526,355,Gameweek 12,0,,308,308,16,11701013
46,bboost,38925,freehit,118718,wildcard,205825,3xc,26590,True,True,2023-11-25T11:00:00Z,1700910000,0,True,True,106,10279974,13,False,False,False,355,355,362,308,Gameweek 13,0,,86,86,16,11743909
54,bboost,51415,freehit,48813,wildcard,111826,3xc,50674,True,True,2023-12-02T13:30:00Z,1701523800,0,True,True,114,2753264,14,False,False,False,355,355,108,355,Gameweek 14,0,,109,109,14,9478613
35,bboost,44960,freehit,32260,wildcard,62439,3xc,58201,True,True,2023-12-05T18:00:00Z,1701799200,0,True,True,105,6195999,15,False,False,False,355,355,412,355,Gameweek 15,0,,267,267,15,6838182
40,bboost,41381,freehit,47661,wildcard,80992,3xc,108953,True,True,2023-12-09T11:00:00Z,1702119600,0,True,True,112,5303151,16,False,False,False,355,355,362,308,Gameweek 16,0,,516,516,17,8652679
44,bboost,34952,freehit,144248,wildcard,174604,3xc,80633,True,True,2023-12-15T18:30:00Z,1702665000,0,True,True,124,4870645,17,False,False,False,355,355,85,308,Gameweek 17,0,,689,689,16,12222607
36,bboost,25638,freehit,147866,wildcard,109418,3xc,36895,True,True,2023-12-21T18:30:00Z,1703183400,0,True,True,101,8853925,18,False,False,False,355,355,60,308,Gameweek 18,0,,85,85,17,9551699
38,bboost,40614,freehit,47170,wildcard,104145,3xc,38105,True,True,2023-12-26T11:00:00Z,1703588400,0,True,True,105,237211,19,False,False,False,308,355,85,516,Gameweek 19,0,,468,468,17,7268356
59,bboost,78077,freehit,48514,wildcard,207197,3xc,38901,True,True,2023-12-30T11:00:00Z,1703934000,0,True,True,134,351854,20,False,False,False,355,19,343,308,Gameweek 20,0,,362,362,18,9018331
47,bboost,30370,freehit,125692,wildcard,947506,3xc,22782,True,True,2024-01-12T18:15:00Z,1705083300,0,True,True,138,6974406,21,False,False,False,355,19,353,19,Gameweek 21,10526259,,294,294,19,21743109
48,bboost,63489,freehit,38976,wildcard,317028,3xc,32537,True,True,2024-01-30T18:00:00Z,1706637600,0,True,True,128,10464457,22,False,False,False,355,19,349,19,Gameweek 22,10564383,,757,757,21,10103114
57,bboost,60492,freehit,16153,wildcard,125031,3xc,18015,True,True,2024-02-03T11:00:00Z,1706958000,0,True,True,142,2594325,23,False,False,False,355,355,355,19,Gameweek 23,10575742,,353,353,20,6462542
